,feature,importance,model,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
31,temperature_gradient,-0.0007692307692307665,weather_patient_passive,0.7,0,5,2,4
45,temperature_min_range,-0.0011538461538461498,weather_patient_passive,0.7,0,5,2,4
10,tree_pollen_mean,-0.0011538461538461498,weather_patient_passive,0.7,0,5,2,4
52,humidity_mean,-0.0011538461538461498,weather_patient_passive,0.7,0,5,2,4
59,wind_speed_min,-0.0011538461538461498,weather_patient_passive,0.7,0,5,2,4
51,humidity_min,-0.001538461538461533,weather_patient_passive,0.7,0,5,2,4
57,humidity_latest,-0.0026923076923076827,weather_patient_passive,0.7,0,5,2,4
0,grass_pollen_max,-0.003461538461538449,weather_patient_passive,0.7,0,5,2,4
38,temperature_max_skew,-0.0038461538461538325,weather_patient_passive,0.7,0,5,2,4
30,temperature_skew,-0.0038461538461538325,weather_patient_passive,0.7,0,5,2,4
53,humidity_range,-0.004230769230769216,weather_patient_passive,0.7,0,5,2,4
29,temperature_range,-0.004230769230769216,weather_patient_passive,0.7,0,5,2,4
37,temperature_max_range,-0.004230769230769216,weather_patient_passive,0.7,0,5,2,4
44,temperature_min_mean,-0.004615384615384599,weather_patient_passive,0.7,0,5,2,4
64,wind_speed_median,-0.004615384615384599,weather_patient_passive,0.7,0,5,2,4
26,temperature_max,-0.004999999999999982,weather_patient_passive,0.7,0,5,2,4
68,aqi_mean,-0.005384615384615365,weather_patient_passive,0.7,0,5,2,4
35,temperature_max_min,-0.005769230769230749,weather_patient_passive,0.7,0,5,2,4
55,humidity_gradient,-0.006153846153846132,weather_patient_passive,0.7,0,5,2,4
21,weed_pollen_gradient,-0.006153846153846132,weather_patient_passive,0.7,0,5,2,4
56,humidity_median,-0.0073076923076922816,weather_patient_passive,0.7,0,5,2,4
61,wind_speed_range,-0.007307692307692293,weather_patient_passive,0.7,0,5,2,4
62,wind_speed_skew,-0.009230769230769199,weather_patient_passive,0.7,0,5,2,4
20,weed_pollen_skew,-0.009230769230769199,weather_patient_passive,0.7,0,5,2,4
26,daily_limit_activity_mean,0.03650793650793647,weather_patient_active,0.7,0,5,2,4
18,daily_night_symp_mean,0.03134920634920633,weather_patient_active,0.7,0,5,2,4
7,rcp3_latest,0.030555555555555523,weather_patient_active,0.7,0,5,2,4
